Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
06-11-2019,11.95,12.05,11.91,11.99,0.03,12,225,8318
05-11-2019,11.86,11.985,11.825,11.965,0.12,11.97,360,8227
04-11-2019,11.97,11.985,11.84,11.86,0.135,11.85,262,8163
01-11-2019,12.01,12.065,11.935,11.97,0.035,11.985,305,8119
31-10-2019,12,12.08,11.955,11.92,0.02,12.02,552,8251
30-10-2019,11.955,12.205,11.9,11.985,0.075,12,1195,8136
29-10-2019,11.82,11.99,11.735,11.945,0.09,11.925,1399,7438
28-10-2019,12.035,12.085,11.825,11.825,0.215,11.835,1218,6842
25-10-2019,11.98,12.085,11.955,12.04,0.06,12.05,695,6494
24-10-2019,11.95,12.01,11.91,11.98,0.07,11.99,670,6116
23-10-2019,11.97,11.975,11.91,11.91,0.05,11.92,433,5989
22-10-2019,12.07,12.185,11.96,11.97,0.1,11.97,725,5702
21-10-2019,12.2,12.21,12.035,12.055,0.13,12.07,879,5107
18-10-2019,12.23,12.265,12.18,12.2,0.08,12.2,431,4773
17-10-2019,12.28,12.325,12.19,12.22,0.015,12.28,417,4515
16-10-2019,12.17,12.365,12.125,12.26,0.09,12.265,373,4220
15-10-2019,12.265,12.31,12.13,12.175,0.11,12.175,668,3717
14-10-2019,12.34,12.34,12.175,12.27,0.06,12.285,343,3536
11-10-2019,12.3,12.355,12.27,12.335,0.02,12.345,577,3044
10-10-2019,12.3,12.45,12.295,12.325,0.035,12.325,505,2744
09-10-2019,12.125,12.32,12.125,12.3,0.17,12.29,290,2576
08-10-2019,11.93,12.205,11.9,12.145,0.19,12.12,663,2258
07-10-2019,11.955,11.995,11.9,11.92,,11.93,292,2016
04-10-2019,12.07,12.07,11.92,11.935,0.055,11.93,95,1971
03-10-2019,11.965,12.045,11.965,11.985,,11.985,96,1950
02-10-2019,12.1,12.1,11.955,12.005,0.12,11.985,687,1436
01-10-2019,12.18,12.185,12.1,12.105,0.14,12.105,207,1367
30-09-2019,12.27,12.3,12.19,12.235,0.125,12.245,225,1229
27-09-2019,12.32,12.455,12.29,12.415,0.08,12.37,189,1093
26-09-2019,12.095,12.4,12.085,12.315,0.19,12.29,148,1036
25-09-2019,12.15,12.15,12.075,12.095,0.095,12.1,184,897
24-09-2019,12.215,12.235,12.165,12.19,0.065,12.195,267,705
23-09-2019,12.43,12.455,12.225,12.225,0.25,12.26,87,658
20-09-2019,12.495,12.52,12.455,12.505,0.05,12.51,76,643
19-09-2019,12.475,12.555,12.475,12.54,0.08,12.56,79,624
18-09-2019,12.425,12.515,12.41,12.46,0.045,12.48,99,566
17-09-2019,12.36,12.46,12.36,12.425,0.07,12.435,138,514
16-09-2019,12.385,12.39,12.34,12.365,0.045,12.365,71,492
13-09-2019,12.15,12.275,12.125,12.24,0.075,12.255,870,7402
12-09-2019,12.045,12.2,12.03,12.185,0.085,12.18,709,7267
11-09-2019,12,12.1,11.975,12.095,0.08,12.095,654,7144
10-09-2019,11.915,12.035,11.915,12.005,0.065,12.015,513,7192
09-09-2019,11.955,11.955,11.885,11.955,0.015,11.95,241,7193
06-09-2019,11.915,11.97,11.865,11.97,,11.965,333,7244
05-09-2019,11.96,12,11.84,11.97,0.02,11.965,456,7339
04-09-2019,11.975,12,11.865,11.995,0.01,11.985,562,7359
03-09-2019,11.95,12,11.915,11.96,0.02,11.975,767,7517
30-08-2019,11.855,12.02,11.785,11.945,0.1,11.955,934,7619
29-08-2019,11.645,11.97,11.64,11.875,0.21,11.855,1464,7863
28-08-2019,11.455,11.66,11.445,11.625,0.19,11.645,1056,7515
27-08-2019,11.51,11.53,11.425,11.46,0.07,11.455,893,7028
26-08-2019,11.265,11.555,11.225,11.525,0.245,11.525,1045,6637
23-08-2019,11.175,11.325,11.175,11.3,0.105,11.28,1050,6450
22-08-2019,11.225,11.26,11.17,11.175,0.045,11.175,634,6084
21-08-2019,11.27,11.29,11.2,11.23,0.06,11.22,904,5629
20-08-2019,11.34,11.37,11.27,11.3,0.05,11.28,723,5301
19-08-2019,11.51,11.56,11.33,11.335,0.175,11.33,940,4891
16-08-2019,11.6,11.66,11.5,11.51,0.105,11.505,764,4491
15-08-2019,11.745,11.745,11.585,11.605,0.17,11.61,303,4313
14-08-2019,11.84,11.94,11.77,11.785,0.03,11.78,485,4048
13-08-2019,11.86,11.86,11.75,11.75,0.115,11.75,251,3939
12-08-2019,11.68,11.885,11.655,11.885,0.185,11.865,350,3740
09-08-2019,11.635,11.7,11.63,11.7,0.02,11.68,666,3141
08-08-2019,11.68,11.795,11.66,11.68,0.005,11.66,585,2629
07-08-2019,11.63,11.8,11.595,11.67,0.025,11.655,271,2574
06-08-2019,11.68,11.685,11.615,11.63,0.06,11.63,738,2239
05-08-2019,11.905,11.91,11.55,11.685,0.255,11.69,987,1494
02-08-2019,12.135,12.135,11.865,11.955,0.225,11.945,202,1442
01-08-2019,12.14,12.2,12.075,12.165,0.02,12.17,257,1310
31-07-2019,12.285,12.3,12.09,12.14,0.145,12.15,229,1243
30-07-2019,12.46,12.51,12.26,12.295,0.2,12.295,349,1074
29-07-2019,12.34,12.52,12.33,12.5,0.12,12.495,229,920
26-07-2019,12.3,12.37,12.23,12.37,0.075,12.375,141,838
25-07-2019,12.21,12.32,12.21,12.29,0.1,12.3,171,722
24-07-2019,12.13,12.225,12.125,12.19,0.055,12.2,78,667
23-07-2019,12.12,12.195,12.025,12.145,0.045,12.145,44,640
22-07-2019,12.12,12.24,12.095,12.1,0.02,12.1,67,611
19-07-2019,12.055,12.14,12.04,12.12,0.055,12.12,17,618
18-07-2019,11.93,12.07,11.93,12.035,0.07,12.065,30,597
17-07-2019,11.97,12,11.92,11.995,0.02,11.995,30,581
16-07-2019,11.99,12.005,11.925,11.985,0.07,11.975,59,600
15-07-2019,12.04,12.1,12.015,12.025,0.015,12.045,20,584
12-07-2019,11.9,11.96,11.85,11.91,0.025,11.905,490,5732
11-07-2019,11.895,11.95,11.825,11.925,0.005,11.93,578,5520
10-07-2019,11.865,11.96,11.8,11.92,0.04,11.925,811,5441
09-07-2019,11.665,11.9,11.66,11.88,0.155,11.885,519,5374
08-07-2019,11.53,11.765,11.45,11.705,0.23,11.73,356,5383
05-07-2019,11.405,11.54,11.37,11.5,0.105,11.5,238,5460
