Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
06-11-2019,922.25,922.5,914.25,915,6.75,915,1583,1273
05-11-2019,925.25,928.75,920,922,4,921.75,660,1595
04-11-2019,923.25,929.75,921,925.5,1.5,925.75,1285,2268
01-11-2019,915.5,926.5,915,924.5,7.5,924.25,7087,6290
31-10-2019,915.75,920.5,910.5,916.5,0.75,916.75,14026,10218
30-10-2019,917.75,921.5,915.25,916,2.25,916,104394,47495
29-10-2019,921,925.25,916,918,2.5,918.25,135940,81703
28-10-2019,921.5,926,920.25,920,0.5,920.75,120666,111275
25-10-2019,933.5,937.25,919.5,920.75,13,920.25,146594,156819
24-10-2019,933.75,939,932.75,932.25,0.5,933.25,108576,180368
23-10-2019,934,939,927.75,934,0.25,933.75,170139,214404
22-10-2019,932.5,945.25,931,934,0.75,934,152215,220515
21-10-2019,930.75,940,930.25,932.5,0.75,933.25,113636,232894
18-10-2019,931,938.5,930.5,933.5,2.5,934,109778,239461
17-10-2019,928,940.75,927.25,931,3.5,931.5,109201,236088
16-10-2019,933,938.75,927.5,928,6,928,94674,243247
15-10-2019,938.75,944.25,933.25,931.25,6.5,934,116329,255272
14-10-2019,940.5,945.5,930.5,938.75,4.5,940.5,124563,270318
11-10-2019,923.75,939.25,923.5,934.25,12.5,936,166277,271210
10-10-2019,919.5,934,918.75,922.5,0.25,923.5,157164,277531
09-10-2019,918.5,931.5,918.25,922.25,3.25,923.75,150175,305061
08-10-2019,915,923.75,910.5,916.5,5.25,920.5,132790,318594
07-10-2019,916.5,919.5,911.5,915,1,915.25,118091,336065
04-10-2019,911,921.25,909.5,915,4.5,916.25,79552,337799
03-10-2019,913,918.5,908,910,2,911.75,102527,341273
02-10-2019,917.25,918.75,911.75,913,5.75,913.75,100690,352711
01-10-2019,904,920,903.25,914.5,13.5,919.5,166414,360240
30-09-2019,884.75,906.75,883.75,904,23,906,148516,358080
27-09-2019,887.75,889.25,881.5,882,5.5,883,60038,358530
26-09-2019,888,895.5,886.75,888,0.75,888.5,76227,362431
25-09-2019,894,897.75,885.25,888.5,5,889.25,87659,366970
24-09-2019,892.5,899,890.5,894.75,1.75,894.25,77328,366671
23-09-2019,882.75,899.25,882.75,891.25,9.75,892.5,107364,363178
20-09-2019,893,893.5,880.75,881.5,10.25,882.75,88446,370494
19-09-2019,889.25,895,886.25,892,4.25,893,82328,367995
18-09-2019,895.25,897,886.75,889.5,5,888.75,57167,369194
17-09-2019,900,900,888.25,894.75,6.25,893.75,84435,374361
16-09-2019,903.25,904.75,894.25,899,1.25,900,79015,376513
13-09-2019,890,890.25,888.5,888.5,1.75,884.75,99,182
12-09-2019,862.75,881.25,862.75,881.25,29,883,198,521
11-09-2019,853.75,854.75,851.5,853.25,5.25,854,648,314
10-09-2019,847.25,860,845.5,859.5,14.25,859.25,465,482
09-09-2019,843,847.75,839.75,846,,845,617,582
06-09-2019,853.5,853.5,844.75,845.5,4.75,845,657,899
05-09-2019,863,864.5,846.75,850,12.75,849.75,1293,1222
04-09-2019,856.5,864,852.5,863.25,6,862.5,2164,1497
03-09-2019,855.5,856.25,848.75,855.25,0.5,856.5,2239,2311
30-08-2019,856.25,864.75,855,857.5,0.75,857,6655,5877
29-08-2019,852.75,860.5,852.5,856.5,3.5,856.25,40872,18978
28-08-2019,846.25,854.75,839.5,852.25,6.5,852.75,39982,26589
27-08-2019,851.5,852,843,843,7.5,846.25,47394,37404
26-08-2019,842,857.25,842,853.75,10.5,853.75,37154,44496
23-08-2019,855.5,859.25,842,842,12.75,843.25,31848,63667
22-08-2019,860.5,869.5,855.25,856,4.5,856,13453,64445
21-08-2019,855.75,864,854.25,860.5,4.75,860.5,9130,65598
20-08-2019,856.25,862,853,855.75,1.75,855.75,10812,65665
19-08-2019,862.25,865,852,853.75,13.25,854,10837,67355
16-08-2019,858.25,868,858.25,867.25,9.25,867.25,11661,67406
15-08-2019,866.75,872,857.75,858,7.5,858,12175,66474
14-08-2019,869.5,869.5,867.75,868.5,11,861,143,157
13-08-2019,872,876.75,871.25,871.25,10.5,872,145,218
12-08-2019,871,871,860,862.25,12.25,861.5,324,1018
09-08-2019,871.75,875.25,866,875.25,8.75,873.75,1592,1205
08-08-2019,851.75,864.75,851.75,864.75,16.25,865,2028,1438
07-08-2019,848.25,848.25,844.25,847.75,1,848.75,2532,1881
06-08-2019,848.5,854,847,849,2.5,847.75,2306,2167
05-08-2019,852.25,854,837.25,850.25,,850.25,3113,2665
02-08-2019,849,853.5,845.25,850.75,3.25,850.25,4561,3182
01-08-2019,862.75,863.75,842.25,847.75,17,847,6717,4715
31-07-2019,876.5,882,862.75,862.75,14.75,864,9633,7070
30-07-2019,884.75,887,871.5,876.5,7,878.75,48513,21624
29-07-2019,882.5,890.75,881.75,885.25,2.5,885.75,68241,49006
26-07-2019,883.5,890,881.5,881.5,0.75,883.25,52507,79042
25-07-2019,891,896,881,882.5,8.5,882.5,26546,84055
24-07-2019,886,895,883.75,890.25,5.25,891,31142,87460
23-07-2019,888.5,892.5,881,885.5,2.5,885.75,18570,89978
22-07-2019,901.5,904.25,887.5,889.75,13.25,888.25,26387,95013
19-07-2019,881.75,905.75,879.5,900.5,20.25,901.5,44776,97609
18-07-2019,880,885.75,875.5,880.25,1.25,881.25,28579,97435
17-07-2019,887.5,894.25,881.5,885,5.25,882.5,27745,96764
16-07-2019,899.75,900,885,887.5,14,887.75,58420,101356
15-07-2019,915.25,918,900.5,901.75,11.5,901.75,21991,103965
12-07-2019,902.25,904.25,902.25,903,10.5,906.75,109,136
11-07-2019,894,895,890.75,895,3.25,896.25,208,308
10-07-2019,884.5,893,880.75,893,10.25,893,651,737
09-07-2019,872.25,881.25,870.75,881.25,7.5,882.75,936,958
08-07-2019,878,878.5,870,875.5,3,875.25,1340,1269
05-07-2019,884,884.75,871.75,872.25,13,872.25,1991,1914
03-07-2019,875.5,885.75,873.5,885.75,9,885.25,3531,3159
02-07-2019,886.25,888.75,876.25,877.75,9.25,876.25,2318,3924
01-07-2019,910.75,910.75,884,884,14.25,885.5,4502,5046
28-06-2019,889.25,906,887.25,900.5,12,899.75,15897,11463
27-06-2019,893.25,898.25,883.5,887.75,6.5,887.75,69743,30568
26-06-2019,902,902,893.25,893.75,9.25,894.25,95995,56831
25-06-2019,915,917.75,900.5,900.75,5.5,903.5,114853,92423
24-06-2019,902,911.25,899.5,908.25,6.25,909,79901,115408
21-06-2019,915,917.25,902.5,903.5,12.75,902.75,102716,170274
20-06-2019,901.25,917.5,896.5,913.5,12.25,915.5,125043,193983
19-06-2019,912.5,913.5,901.5,902.5,10.25,903.25,136908,225998
18-06-2019,918.25,921.5,902.75,912.75,0.75,913.5,128826,247891
17-06-2019,901,914,900.75,914.5,16,912.75,150621,260250
14-06-2019,887.5,898.25,885.25,896,8.75,896.75,118645,272219
13-06-2019,878,888.75,877.75,887,10,888,107445,274977
12-06-2019,857.25,883.25,853.25,878.25,18.75,878,150146,289361
11-06-2019,855.5,863.5,850.25,859,0.75,859.25,120361,307672
10-06-2019,853.75,866,848.25,859,2.25,858.5,93515,319035
07-06-2019,868.75,871.5,855,855.25,12.5,856.25,116283,333362
06-06-2019,869.75,872.25,857.75,868,1,868.75,104705,346259
05-06-2019,882,882.75,868.25,868,12,869.75,120198,356629
04-06-2019,891.25,894.5,878.5,880,2.75,881.75,132883,357832
03-06-2019,875.75,886.5,873.5,878,1.25,879,113604,368576
31-05-2019,889,890.75,876.5,876,11.25,877.75,104121,376640
30-05-2019,871.5,889.5,863.5,887,17,889,124808,383378
29-05-2019,866,892.75,863.5,872,16,872,205548,382946
28-05-2019,840,858.25,837.5,860,26.25,856,133191,384545
24-05-2019,821.5,831.5,820,828.25,8.25,829.75,86152,392091
23-05-2019,828.5,834,817,818.75,7,821.5,113287,395123
22-05-2019,819.5,835,819,828,6.5,828.5,114571,400428
21-05-2019,842.75,846.5,819,821,9.75,822,175434,401927
20-05-2019,828.25,838.75,824.75,835,10,831.75,105209,404618
17-05-2019,840.75,841.75,820.5,821,18,821.75,110196,408725
16-05-2019,834,845,834,840,4.25,839.75,97503,407306
15-05-2019,832,848.25,827,833.75,4,835.5,167736,414256
14-05-2019,810,822.75,810,815,26.75,817.75,162,238
13-05-2019,790.25,790.5,780.5,790.5,6,791,369,580
10-05-2019,800.25,804,795.25,798,3.25,797,712,708
09-05-2019,810,810.5,795.25,799,14,800.25,680,1207
08-05-2019,819.25,820.25,812.75,814.5,3.5,814.25,1990,1482
07-05-2019,815,821.75,815,817.75,0.25,817.75,2555,1797
06-05-2019,816.5,819.75,804.5,817.25,12,817.5,2686,2254
03-05-2019,830.5,834.75,828.75,828.75,1,829.5,3485,3532
02-05-2019,840,840.5,829.75,830,9,830.5,5534,3961
01-05-2019,841,843,831.75,839.5,1.75,839.5,9435,7179
30-04-2019,848,851.25,838.5,841.5,6.25,841.25,11000,10907
29-04-2019,854.75,859.5,847.25,848.25,6.25,847.5,78776,40784
26-04-2019,858.5,859.75,852.5,853.5,5.5,853.75,116774,121731
25-04-2019,854.75,862.75,853.5,858,4,859.25,107964,147431
24-04-2019,862,865.25,854.5,854.25,6.75,855.25,66415,163418
23-04-2019,877,878.75,860.75,866.25,15,862,136241,187834
22-04-2019,881.5,883.25,876.25,876.75,3.5,877,62527,205572
18-04-2019,878.75,882,876.5,880.75,1.5,880.5,63485,214732
17-04-2019,887.75,890.5,878.5,879,9,879,89706,219956
16-04-2019,898.25,899,886.25,888,10.75,888,92852,221960
15-04-2019,895,902,894.75,898.75,3.5,898.75,91118,232341
12-04-2019,895,898.5,893.75,894.5,,895.25,69411,242526
11-04-2019,901.25,904,893.5,895.75,6.75,895.25,85699,253700
10-04-2019,898.75,903.75,897.25,900.25,3.25,902,94241,267825
09-04-2019,898.25,902.25,894.75,898.25,,898.75,77163,271853
08-04-2019,899,903.5,898,898,0.25,898.75,99366,279730
05-04-2019,904.5,904.75,896.25,899,7.5,899,88120,290693
04-04-2019,898.25,907.25,897,905,7.75,906.5,101953,292826
03-04-2019,899.25,903,894.75,898.5,1.25,898.75,55288,294319
02-04-2019,895.75,901.25,892.5,899.25,4.5,900,62949,298239
01-04-2019,884,899,883.75,895.75,11.25,895.5,104916,304002
29-03-2019,888.75,892.75,883,884,5.25,884.25,80723,302292
28-03-2019,888,891.75,886.5,889,2,889.5,61479,305283
27-03-2019,900.25,900.75,886,889,13.25,887.5,94180,298978
26-03-2019,905.5,907.5,899.5,900.5,5.75,900.75,55296,302431
25-03-2019,904.5,908.25,901.5,905.75,2.75,906.5,56408,302580
22-03-2019,909.75,912,903,903.75,6.75,903.75,83200,305602
21-03-2019,906,912,903.5,910,4.5,910.5,64514,303333
20-03-2019,902.75,906.5,899.25,905,2,906,63550,307193
19-03-2019,905.5,909.5,900.25,903.25,1.75,904,70920,307752
18-03-2019,910,911.5,901.75,904.5,3.5,905.75,61524,310632
15-03-2019,899.25,911,898.25,908.75,10.75,909.25,91368,315058
14-03-2019,,,,,0.5,889.5,148,225
13-03-2019,882.75,889.25,882.5,888.5,4.25,889,215,198
12-03-2019,880.5,885,880.25,884.75,7,884.75,237,325
11-03-2019,884.5,884.5,878.5,878.5,6,877.75,436,728
08-03-2019,891,891.5,880,883.25,7,883.75,1275,1126
07-03-2019,892,893.75,887,890.5,1,890.75,2606,1734
06-03-2019,900.5,903.5,889.5,889.5,11.5,889.75,2100,2129
05-03-2019,904.75,904.75,896.75,901.5,2,901.25,3335,3039
04-03-2019,901.25,912.25,901.25,903,4,903.25,4163,3645
01-03-2019,897.25,905,888.25,898.5,1.75,899.25,8163,5719
28-02-2019,903,905.25,897,897.25,6,897.5,12439,10012
27-02-2019,903,910,900.75,903,0.25,903.5,64999,34343
26-02-2019,910,910.75,899,903.5,8,903.75,74660,57793
25-02-2019,918,921,910.25,910.25,1.5,911.75,91623,82090
22-02-2019,910.25,914.75,907.5,907.25,0.75,910.25,80893,139215
21-02-2019,902.75,916.75,900,910,8.5,911,146573,170523
20-02-2019,902,905,893.25,902.5,1.75,902.5,109003,188866
19-02-2019,907.25,911.25,894.75,901,6.75,900.75,87098,195018
15-02-2019,905.25,909.75,901.25,907,4,907.5,92073,221615
14-02-2019,915.75,918.25,903,904.25,13,903.5,93601,228969
13-02-2019,916.75,920,913.75,916.25,1,916.5,69702,238710
12-02-2019,905.5,919.75,905.5,917.5,12.5,917.5,110999,249316
11-02-2019,914.75,918.75,903.5,905,9.5,905,108350,259757
08-02-2019,913,918,908,914,1.25,914.5,120583,273255
07-02-2019,919.5,921.5,910.5,913,8.5,913.25,105621,282947
06-02-2019,920,922.5,917.5,920.5,1.5,921.75,92287,295230
05-02-2019,917.75,921,913.5,920,1.75,920.25,74355,297919
04-02-2019,917,923.75,915.5,917.75,0.75,918.5,70275,294974
01-02-2019,921,931.25,917,917,2.5,917.75,157472,300452
31-01-2019,919.5,926.75,913.25,915,5.75,915.25,84033,300437
30-01-2019,919,924,917.25,920,2,921,57972,299613
29-01-2019,921.75,922.25,916.75,919,4.25,919,77649,304912
28-01-2019,923.5,925,915.75,921,2,923.25,61300,308872
25-01-2019,915.75,926.25,913,922.5,9.25,925.25,93784,314869
24-01-2019,915,919.5,909.25,915.75,1,916,76468,317262
23-01-2019,911,918.25,910.5,915,5.75,915,65917,320134
22-01-2019,916.5,919.5,899.5,910,7.5,909.25,113541,323882
18-01-2019,908.25,920.25,905.75,915,9,916.75,106151,324197
17-01-2019,895.5,912,894.25,907,13.25,907.75,94762,326847
16-01-2019,895.5,900,891.25,894.5,1.25,894.5,78203,326547
15-01-2019,904.25,908,892.5,895.75,10.25,893.25,97379,325874
14-01-2019,895.25,895.25,891,891,8.5,890.75,293,153
