Date,Open,High,Low,Settle,Volume,Interest
01-11-2019,178.25,178.75,177.75,178,13975,126929
31-10-2019,178.75,179,177.5,178,23741,130834
30-10-2019,179.5,179.75,178.75,179,22706,143451
29-10-2019,179.75,180.75,179.25,179.5,30358,139853
28-10-2019,180.25,180.25,179,179.25,22103,140170
25-10-2019,180,181,178.75,181,23303,143160
24-10-2019,181,181.25,179.75,180,21200,149710
23-10-2019,181.25,181.5,180.25,181,29012,160266
22-10-2019,181.5,182.25,181,181,36640,147458
21-10-2019,181.25,182.25,180.5,180.75,24107,150404
18-10-2019,181,181.5,179.5,181.25,22056,159430
17-10-2019,180.5,181.75,180.25,181.25,35806,147822
16-10-2019,178.75,180.25,178.5,180,27558,150028
15-10-2019,180,180.5,177.75,178.25,30077,150535
14-10-2019,180.5,181,179,180.25,29327,147372
11-10-2019,177.5,180.25,177.25,180,30689,150724
10-10-2019,178.75,179,176.75,177,30690,159203
09-10-2019,177.75,179,177.25,178.75,27793,158582
08-10-2019,176,178.25,175.75,178,27325,154546
07-10-2019,176,176.75,175.5,176.5,17304,154779
04-10-2019,176.25,176.5,175.5,176.25,14426,157899
03-10-2019,174.75,176.5,174.5,176.25,17060,172803
02-10-2019,175.25,176.25,174.25,174.5,33958,163680
01-10-2019,175.5,176,174.5,175.25,28894,163080
30-09-2019,174,175,173.5,174.75,24400,169613
27-09-2019,173,174.5,173,174,32846,171452
26-09-2019,171.25,173.25,171.25,173,27907,164011
25-09-2019,170.5,171.25,170.25,170.75,18625,164800
24-09-2019,171,171.5,170.25,170.25,24538,157993
23-09-2019,171.75,172.25,171.5,171.75,12422,158451
20-09-2019,171.75,172.25,171,171.25,13115,157077
19-09-2019,171.25,172.5,171,171.75,20516,160063
18-09-2019,171.5,186.75,170.5,171.5,19203,165484
17-09-2019,171.5,171.5,170.5,171,15701,172167
16-09-2019,170.25,172,169.5,171.75,23040,176167
13-09-2019,169,171.75,169,170.25,24328,175573
12-09-2019,169.5,170.25,167.75,169.5,27608,176869
11-09-2019,170,170.25,169,169.25,17918,183848
10-09-2019,168.25,170.25,168,170,29818,176111
09-09-2019,166.75,168.25,166,168.25,20703,174990
06-09-2019,158,159,158,158.5,1153,4024
05-09-2019,166.5,167.5,166.25,167,14969,175557
04-09-2019,166.75,167,165.75,166.25,17240,182145
03-09-2019,163.5,164.5,160.5,161,6665,13681
02-09-2019,165,165,163.25,163.75,7397,21267
30-08-2019,165,165.25,163.75,164.25,7937,24033
29-08-2019,166.25,166.25,165.5,165.75,8203,26757
28-08-2019,167,167,165.5,166,7990,33929
27-08-2019,166.25,167.5,165.5,167,9818,39708
26-08-2019,165,167,165,166.25,11868,40862
23-08-2019,165.5,166.25,165.25,165.5,9749,43526
22-08-2019,165,165.75,164.5,165.75,10010,45806
21-08-2019,165.5,165.75,164.25,165,10471,50568
20-08-2019,165.75,166.75,165,165.5,9799,56560
19-08-2019,166.75,167.5,165.75,165.75,7178,
16-08-2019,168,168.5,167.75,168,11475,82986
15-08-2019,166.75,168.25,166.5,168,10491,71515
14-08-2019,167,168,166.25,166.75,20618,79760
13-08-2019,167.25,167.75,166,166.25,22893,79793
12-08-2019,170,171,166.75,167.25,22527,81087
09-08-2019,169.75,171.5,169.75,170.5,15830,81969
08-08-2019,170,170.75,168.25,170,18200,82202
07-08-2019,171.25,171.25,169.5,170,19323,80938
06-08-2019,172.75,173,170.5,170.75,14494,84420
05-08-2019,172.5,173.25,172,172.75,15044,83642
02-08-2019,173.25,173.75,173,173.25,17720,89520
01-08-2019,175.25,175.25,173,173,18685,92193
31-07-2019,176.5,176.75,174.5,174.75,22584,93972
30-07-2019,175.5,177,175.25,177,26662,86936
29-07-2019,175.75,176.75,175,175.75,15838,86548
26-07-2019,175.25,175.75,174.75,175.25,12513,88260
25-07-2019,175,176,174.5,175.75,16222,89732
24-07-2019,174.5,176.25,174.5,175.25,16355,93135
23-07-2019,174.75,175,173.25,174.5,21152,92881
22-07-2019,175.5,175.75,174.5,174.75,14077,90033
19-07-2019,175,177.25,174.5,177,14363,93779
18-07-2019,176.5,176.5,174.5,174.75,21279,89581
17-07-2019,175.75,177.75,174.75,176.75,14595,89775
16-07-2019,176,176.5,175,175.5,14587,90515
15-07-2019,179.25,179.25,176.25,176.75,13898,91374
12-07-2019,177.5,179.25,177,178.25,19522,88747
11-07-2019,173.75,177.5,173.5,176.75,22099,87756
10-07-2019,172.75,174,172.25,173.5,17451,91383
09-07-2019,175.5,175.5,173,173,30061,85037
08-07-2019,179,179.25,176.5,176.75,10902,85791
05-07-2019,179.5,179.5,177.25,178.25,11040,84407
04-07-2019,178.75,179.75,178.5,179.5,7918,85177
03-07-2019,176.75,179,176.5,178.5,16626,82014
02-07-2019,177.75,179,176.5,177,14872,86802
01-07-2019,180,180.75,177.75,178.25,18042,87959
28-06-2019,182.25,183.75,179.75,180.25,20355,88788
27-06-2019,184.25,184.75,181.5,182.25,16787,91539
26-06-2019,182.75,184,181.25,182.75,13711,90686
25-06-2019,184.25,185.25,182,183.5,17705,90369
24-06-2019,180.5,184,180,183.75,14327,88095
21-06-2019,181,181.25,179,180.75,10463,88292
20-06-2019,178.5,180.25,177.5,180,15900,89726
19-06-2019,180.5,180.75,178.5,179,15988,94630
18-06-2019,181.75,182.25,180.5,181,20038,90863
17-06-2019,182.25,183.75,181.5,182.75,17514,88239
14-06-2019,178.75,181.25,178.5,180.75,13740,91449
13-06-2019,178.25,180.5,177,178.75,19093,90063
12-06-2019,177.25,178.75,176.5,177.25,18002,91404
11-06-2019,177,178.5,175.75,177.75,23350,86759
10-06-2019,178.25,178.25,176.75,177.25,9427,86978
07-06-2019,178.75,180,178.5,179,12316,95045
06-06-2019,178.5,180,177.75,179.5,24273,99818
05-06-2019,179.75,180.25,178.5,179,25051,102963
04-06-2019,184,185,182.25,182.5,21488,103963
03-06-2019,185,187.75,183,185.25,28326,98574
31-05-2019,185.5,186,183.25,185.25,23412,100665
30-05-2019,181.5,185.75,179.5,185.25,28546,108162
29-05-2019,187.25,190,181.5,184.25,53852,107958
28-05-2019,184.75,185.25,183,184.75,42018,103357
27-05-2019,179.5,182.5,179.25,182,26104,101324
24-05-2019,175,178.25,174.75,178,13539,102286
23-05-2019,175.25,177.25,174.75,175.5,14002,103757
22-05-2019,175,175.25,173,175,15136,108988
21-05-2019,176.75,178.25,175.25,176.25,21465,107967
20-05-2019,174.75,176.5,174.75,176,15102,110130
17-05-2019,174.25,175.25,173.25,173.75,17630,108403
16-05-2019,172.25,174,172,173.75,16361,110524
15-05-2019,171.5,172.5,171,172,22109,104203
14-05-2019,170,171.75,169.5,170.5,22522,99958
13-05-2019,168.75,169,167,168.75,20202,95308
10-05-2019,170.5,170.75,168.75,169,10688,93813
09-05-2019,184.25,188,184,185.25,2426,3362
08-05-2019,184.75,185,184,184.75,1540,3944
07-05-2019,183.25,185.25,182.5,185,3078,5799
06-05-2019,183,184.5,182.75,184,2561,8512
03-05-2019,186.25,188.25,184,185.5,11380,21910
02-05-2019,184,187.25,184,186.25,16411,28362
30-04-2019,183.25,184,183,183.25,13078,37077
